Date,Predicted_Urban_km2,Lower_Bound_km2,Upper_Bound_km2
2025-01-01,1.3080098014772406,-6.02587777418168,8.38063156613567
2025-02-01,2.2849835043413,-4.45499267461447,8.887933324868415
2025-03-01,9.837367275836508,3.51481638657381,16.559175789060525
2025-04-01,14.605850980823698,7.680836706790066,21.420928388691344
2025-05-01,2.1324180283542953,-4.856237292373593,9.228468932559716
2025-06-01,1.227820984636687,-5.866365827993649,8.132416641089401
2025-07-01,1.6008316072247448,-5.299171126079502,8.319296379091682
2025-08-01,1.1638254720159944,-5.624862111190102,7.954488773589558
2025-09-01,2.4071940180720484,-4.35796091257185,9.405464822352185
2025-10-01,2.601607754506694,-4.205892185655516,8.843651403302353
2025-11-01,2.1150994667877425,-4.827822984087353,8.729722732187954
2025-12-01,1.5344855125350805,-5.70545647494069,8.711371340585918
2026-01-01,1.7970836976039508,-5.086039279897131,8.72135373200242
2026-02-01,3.1288003868431726,-3.915780176882767,10.026491521828747
2026-03-01,12.972321128954572,5.0156584606178045,21.31004275452266
2026-04-01,19.896149710663497,10.012528901597642,29.808128442388725
2026-05-01,2.8621988938704415,-4.062228452771897,9.988745887132986
2026-06-01,1.6419841568154219,-5.238446783259319,8.58360078629658
2026-07-01,2.0975730445624845,-5.258492817682076,9.15865861223936
2026-08-01,1.4978301072267857,-5.101887470947899,8.322867010133528
2026-09-01,3.0636872673232314,-4.107386862134277,10.333265905578601
2026-10-01,3.4116613147663877,-3.6480176125092636,10.441014032991289
2026-11-01,2.7347830227071697,-4.70398581208458,10.050253424244074
2026-12-01,1.9736720641237149,-5.2642432079126324,9.458970364553261
2027-01-01,2.2865239645305704,-4.495554605246254,9.258318246764047
2027-02-01,3.980389051633578,-3.302827890431697,11.492181112935857
2027-03-01,15.941220921043186,4.591543127412863,27.989964964816846
2027-04-01,25.339525778007,9.529012519318657,42.546055903077814
2027-05-01,3.602947685296958,-3.953539084575974,10.88616916478019
2027-06-01,2.0642847476897024,-4.83752926742578,9.222356354334968
2027-07-01,2.5896855582776643,-4.339731109922137,9.7006028643458
2027-08-01,1.8209166741180025,-5.1556042452685755,8.677355902691902
2027-09-01,3.692406982866529,-3.224333023651928,11.498262776316444
2027-10-01,4.246176844890713,-2.9876982079329757,11.607209736914701
2027-11-01,3.3620866411043964,-3.8986292333716843,10.416985502400657
2027-12-01,2.418055569944604,-4.192173876625296,9.859301959102652
2028-01-01,2.7761037493557206,-4.511106756131322,10.369199888882655
2028-02-01,4.8386557640236445,-2.6037884829133313,12.826556198951495
2028-03-01,20.72609672949088,1.0748423603484927,40.006569614995534
2028-04-01,29.12909120049863,2.640092583848396,56.568070778274404
2028-05-01,4.2279791608080215,-3.270388305667543,11.948281205759699
2028-06-01,2.392614242044901,-4.784464688863876,9.324423465586154
2028-07-01,3.122793178088237,-4.425390737427488,11.145984831576586
2028-08-01,2.2682256996382923,-5.121897254302765,9.328806140749068
2028-09-01,4.659532774326551,-3.316201022261807,12.035153528130307
2028-10-01,4.806545339715295,-3.1669333006170084,13.165766402690522
2028-11-01,3.8963877401872833,-3.8286455080248825,11.813558019525075
2028-12-01,2.7974561505281814,-4.207554204860091,9.887773972013887
2029-01-01,3.260645942439862,-4.005127409796483,11.212719977040768
2029-02-01,5.59134495246896,-3.5791657532851935,15.6069283746169
2029-03-01,23.68789851550255,-2.39481227891692,49.408721842097265
2029-04-01,34.573647969460225,-2.4600800271008136,72.97057123370546
2029-05-01,4.968064435165983,-3.6800309480313373,13.608658216561011
2029-06-01,2.815748009265303,-4.713066489501134,10.366041871407544
2029-07-01,3.617610990760484,-3.9897970426443328,12.15234642420297
2029-08-01,2.591876384917577,-4.985064854180379,9.923199118522723
2029-09-01,5.285947697509852,-3.803808551592769,13.98650934474485
2029-10-01,5.6382900987847755,-3.560006604932985,14.997707416255473
2029-11-01,4.524246553691647,-4.001542425006999,13.631032029850836
2029-12-01,3.242355289410196,-4.010878922555194,11.091006892049867
